Arbre;Forêt
Plage;Océan
Voiture;Camion
Pomme;Banane
Soleil;Étoile
Maison;Villa
Café;Cappuccino
Montagne;Vallée
Été;Printemps
Livre;Magazine
Film;Cinéma
Rire;Pleurer
Musique;Chanson
Bleu;Ciel
Pizza;Hamburger
Football;Tennis
Vélo;Roller
Chapeau;Béret
Chemise;Chemisier
Téléphone;Ordinateur
Chien;Loup
Pluie;Parapluie
Avion;Hélicoptère
Lit;Oreiller
Café;Expresso
Piano;Violon
Orange;Citron
Montre;Bracelet
Basket;Football
École;Université
Pizza;Salade
Lune;Étoile
Veste;Manteau
Cheval;Poney
Musée;Exposition
Rouge;Bleu
Chapeau;Chaussure
Lac;Rivière
Plante;Fleur
Vélo;Voiture
